DateTime,gradient
10/11/2015 0:00,-0.005221597
10/11/2015 0:15,-0.00526501
10/11/2015 0:30,-0.005309367
10/11/2015 0:45,-0.005405766
10/11/2015 1:00,-0.005502971
10/11/2015 1:15,-0.005549913
10/11/2015 1:30,-0.005801593
10/11/2015 1:45,-0.005747195
10/11/2015 2:00,-0.005848201
10/11/2015 2:15,-0.005848201
10/11/2015 2:30,-0.005999528
10/11/2015 2:45,-0.005999708
10/11/2015 3:00,-0.006050434
10/11/2015 3:15,-0.006152655
10/11/2015 3:30,-0.006153412
10/11/2015 3:45,-0.00620276
10/11/2015 4:00,-0.00636005
10/11/2015 4:15,-0.006460858
10/11/2015 4:30,-0.006464078
10/11/2015 4:45,-0.006512737
10/11/2015 5:00,-0.006566537
10/11/2015 5:15,-0.006671141
10/11/2015 5:30,-0.006671141
10/11/2015 5:45,-0.006620943
10/11/2015 6:00,-0.006823962
10/11/2015 6:15,-0.006776156
10/11/2015 6:30,-0.006878906
10/11/2015 6:45,-0.006926606
10/11/2015 7:00,-0.006934409
10/11/2015 7:15,-0.006931617
10/11/2015 7:30,-0.006987346
10/11/2015 7:45,-0.006984422
10/11/2015 8:00,-0.007040373
10/11/2015 8:15,-0.007093487
10/11/2015 8:30,-0.007093487
10/11/2015 8:45,-0.007096854
10/11/2015 9:00,-0.007199969
10/11/2015 9:15,-0.007203583
10/11/2015 9:30,-0.007260985
10/11/2015 9:45,-0.007314666
10/11/2015 10:00,-0.007257069
10/11/2015 10:15,-0.007360302
10/11/2015 10:30,-0.007530122
10/11/2015 10:45,-0.00742669
10/11/2015 11:00,-0.007476152
10/11/2015 11:15,-0.007525636
10/11/2015 11:30,-0.007521325
10/11/2015 11:45,-0.007575144
10/11/2015 12:00,-0.007525636
10/11/2015 12:15,-0.007629034
10/11/2015 12:30,-0.007687631
10/11/2015 12:45,-0.007692439
10/11/2015 13:00,-0.007741763
10/11/2015 13:15,-0.007737019
10/11/2015 13:30,-0.007741763
10/11/2015 13:45,-0.007795959
10/11/2015 14:00,-0.007791111
10/11/2015 14:15,-0.007845268
10/11/2015 14:30,-0.007904539
10/11/2015 14:45,-0.008008111
10/11/2015 15:00,-0.007904539
10/11/2015 15:15,-0.007909755
10/11/2015 15:30,-0.007915136
10/11/2015 15:45,-0.00795892
10/11/2015 16:00,-0.008013361
10/11/2015 16:15,-0.007909755
10/11/2015 16:30,-0.008013361
10/11/2015 16:45,-0.008013361
10/11/2015 17:00,-0.008073368
10/11/2015 17:15,-0.008122416
10/11/2015 17:30,-0.00806786
10/11/2015 17:45,-0.008018773
10/11/2015 18:00,-0.008073368
10/11/2015 18:15,-0.008116973
10/11/2015 18:30,-0.008182723
10/11/2015 18:45,-0.008280691
10/11/2015 19:00,-0.008243425
10/11/2015 19:15,-0.008128018
10/11/2015 19:30,-0.008177027
10/11/2015 19:45,-0.008275126
10/11/2015 20:00,-0.008329716
10/11/2015 20:15,-0.00838436
10/11/2015 20:30,-0.00838436
10/11/2015 20:45,-0.008329716
10/11/2015 21:00,-0.008378767
10/11/2015 21:15,-0.008275126
10/11/2015 21:30,-0.008275126
10/11/2015 21:45,-0.008335373
10/11/2015 22:00,-0.008433374
10/11/2015 22:15,-0.008347153
10/11/2015 22:30,-0.008396009
10/11/2015 22:45,-0.008341185
10/11/2015 23:00,-0.008347153
10/11/2015 23:15,-0.008493805
10/11/2015 23:30,-0.008390107
10/11/2015 23:45,-0.008396009
10/12/2015 0:00,-0.008347153
10/12/2015 0:15,-0.008444893
10/12/2015 0:30,-0.008444893
10/12/2015 0:45,-0.008444893
10/12/2015 1:00,-0.008548605
10/12/2015 1:15,-0.008488033
10/12/2015 1:30,-0.008512036
10/12/2015 1:45,-0.008560779
10/12/2015 2:00,-0.00849973
10/12/2015 2:15,-0.00849973
10/12/2015 2:30,-0.008603454
10/12/2015 2:45,-0.008713299
10/12/2015 3:00,-0.008658353
10/12/2015 3:15,-0.008560779
10/12/2015 3:30,-0.008609552
10/12/2015 3:45,-0.008573557
10/12/2015 4:00,-0.008658353
10/12/2015 4:15,-0.008670866
10/12/2015 4:30,-0.008567093
10/12/2015 4:45,-0.008622196
10/12/2015 5:00,-0.008622196
10/12/2015 5:15,-0.008615799
10/12/2015 5:30,-0.008615799
10/12/2015 5:45,-0.008609552
10/12/2015 6:00,-0.008609552
10/12/2015 6:15,-0.008670866
10/12/2015 6:30,-0.008670866
10/12/2015 6:45,-0.008622196
10/12/2015 7:00,-0.008725978
10/12/2015 7:15,-0.008725978
10/12/2015 7:30,-0.008670866
10/12/2015 7:45,-0.008664535
10/12/2015 8:00,-0.008670866
10/12/2015 8:15,-0.008719565
10/12/2015 8:30,-0.008670866
10/12/2015 8:45,-0.008713299
10/12/2015 9:00,-0.008677346
10/12/2015 9:15,-0.008725978
10/12/2015 9:30,-0.008664535
